BV2022,Bassin de vie,salair_moy,tx_pauvrete
13088,Le Rove,19.4,8.8
13096,Saintes-Maries-de-la-Mer,12.7,20.8
13097,Saint-Martin-de-Crau,16.05,11.6
13100,Saint-Rémy-de-Provence,16.08,16.2
13103,Salon-de-Provence,16.61,14.2
13104,Sausset-les-Pins,22.31,6.3
13105,Sénas,15.29,13
14020,Argences,13.94,9.1
14027,Les Monts d'Aunay,13.59,12.3
14047,Bayeux,14.17,10.4
14118,Caen,14.73,14.1
14174,Condé-en-Normandie,13.42,13.6
14191,Courseulles-sur-Mer,15.03,7.5
14225,Dives-sur-Mer,14.36,12.7
14228,Douvres-la-Délivrande,17.31,6.5
14257,Évrecy,15.5,5
14258,Falaise,13.53,11.7
14333,Honfleur,15.69,11.6
14342,Isigny-sur-Mer,13.41,15.7
14366,Lisieux,13.75,14.3
14371,Livarot-Pays-d'Auge,13.62,16.6
14431,Mézidon Vallée d'Auge,13.47,13.4
14478,Orbec,13.61,16
14488,Ouistreham,16.12,8.2
14514,Pont-l'Évêque,15.13,10.5
14654,Saint-Pierre-en-Auge,13.1,13
14689,Thury-Harcourt-le-Hom,14.12,9.4
14712,Troarn,14.57,7.3
14715,Trouville-sur-Mer,15.53,14.1
14752,Villers-Bocage,13.8,9.9
14762,Vire Normandie,13.1,14.1
15014,Aurillac,13.1,12.3
15119,Massiac,12.66,18.1
15120,Mauriac,12.3,17.3
15122,Maurs,12.89,16.9
15138,Murat,12.62,17.6
15162,Riom-ès-Montagnes,12.5,18.2
15187,Saint-Flour,12.3,14.5
15258,Vic-sur-Cère,12.29,12.1
16015,Angoulême,14.32,16.4
16028,Barbezieux-Saint-Hilaire,13.67,14.6
16070,Chabanais,13.32,17.7
16073,Chalais,12.29,20.2
16078,Champniers,14.45,7.9
16085,Chasseneuil-sur-Bonnieure,12.73,18.9
16090,Châteauneuf-sur-Charente,13.77,11.2
16102,Cognac,15.82,12
16106,Confolens,12.94,22.5
16167,Jarnac,14.62,10.7
16206,Mansle-les-Fontaines,13.13,16.7
16281,La Rochefoucauld-en-Angoumois,13.32,13.1
16292,Ruffec,12.61,19.5
16366,Segonzac,14.66,10.9
17003,Aigrefeuille-d'Aunis,14.46,7.6
17024,Aulnay,12.76,18.5
17093,Le Château-d'Oléron,13.27,13.3
17131,Cozes,12.79,13.2
17140,Dolus-d'Oléron,13.26,12.1
17161,La Flotte,17.02,9.1
17168,Fouras,15.39,9.1
17172,Gémozac,13.35,12.9
17197,Jonzac,13.1,16.5
17218,Marans,13.52,10.1
17219,Marennes-Hiers-Brouage,12.83,13.3
17224,Matha,13.07,17
17236,Mirambeau,13.35,20.6
17240,Montendre,13.65,16.1
17241,Montguyon,13.24,17.2
17283,Pons,13.25,13.3
17299,Rochefort,13.36,13.5
17300,La Rochelle,15.64,11.9
17306,Royan,14.3,11.2
17347,Saint-Jean-d'Angély,12.87,15.5
17385,Saint-Pierre-d'Oléron,13.02,13
17397,Saint-Savinien,12.35,14.1
17415,Saintes,13.89,12.4
17421,Saujon,12.32,12.2
17434,Surgères,13.66,11.3
17452,La Tremblade,13.12,11.4
18015,Aubigny-sur-Nère,13.56,13.6
18033,Bourges,14.68,14.2
18057,Châteaumeillant,12.26,21.3
18087,Dun-sur-Auron,13.7,12.6
18108,La Guerche-sur-l'Aubois,13.38,17.3
18109,Henrichemont-Menetou-Salon,13.75,14.5
18127,Lignières,13.25,16.5
18141,Mehun-sur-Yèvre,14.56,9.1
18197,Saint-Amand-Montrond,12.98,16.7
18207,Saint-Florent-sur-Cher,14.16,11.8
18223,Saint-Martin-d'Auxigny,14.23,8.6
18242,Sancoins,12.65,21.1
18279,Vierzon,13.31,18.3
19010,Argentat-sur-Dordogne,12.92,16.7
19028,Bort-les-Orgues,12.43,15.6
19031,Brive-la-Gaillarde,14.22,13
19073,Égletons,13.16,16.2
19121,Lubersac,13.16,15.8
19138,Meyssac,13.7,14.7
19153,Objat,13.25,13
19255,Seilhac,13.51,11
19272,Tulle,13.39,12.6
19275,Ussel,12.77,14.3
19276,Uzerche,13.14,14.7
21023,Arnay-le-Duc,13.22,13.1
21038,Auxonne,13.95,10.6
21054,Beaune,15.54,9.3
21154,Châtillon-sur-Seine,12.76,16.1
21231,Dijon,15.36,13.2
21292,Genlis,14.78,7.2
21317,Is-sur-Tille,14.36,9.1
21416,Mirebeau-sur-Bèze,14.02,8.4
21425,Montbard,12.91,14.2
21464,Nuits-Saint-Georges,15.59,6.4
21501,Pouilly-en-Auxois,14.15,9.9
21584,Saulieu,12.77,16.3
21603,Semur-en-Auxois,14.06,12.4
21607,Seurre,13.71,9.2
21663,Venarey-les-Laumes,13.58,14.1
22004,Bégard,13.01,13.1
22020,Broons,13.32,12.5
22025,Callac,12.52,22.3
22050,Dinan,14.16,9.9
22054,Erquy,14.9,9.5
22055,Binic-Étables-sur-Mer,15.5,8.3
22070,Guingamp,13.21,14.9
22093,Lamballe-Armor,13.77,9.5
22113,Lannion,15.89,10.6
22121,Lanvollon,13.14,11.7
22136,Loudéac,12.92,13.1
22143,Matignon,14.01,8.7
22147,Merdrignac,12.98,15.5
22162,Paimpol,13.99,11.3
22172,Plancoët,13.12,10.6
22186,Pléneuf-Val-André,15.32,8.6
22194,Plestin-les-Grèves,14.22,11.6
22203,Plœuc-L'Hermitage,13.11,10.4
22206,Châtelaudren-Plouagat,13.5,9.5
22222,Plouha,13.75,10.9
22262,Quintin,13.65,8.8
22266,Rostrenen,12.4,19.5
22278,Saint-Brieuc,14.11,12.5
22362,Tréguier,13.25,13.1
23008,Aubusson,12.2,21.5
23013,Auzances,12.47,22.3
