BV2022,Bassin de vie,salair_moy,tx_pauvrete
40224,Peyrehorade,13.83,12.2
40233,Pouillon,14.12,11.1
40245,Roquefort,12.87,12.4
40282,Saint-Sever,13.19,9.4
40284,Saint-Vincent-de-Tyrosse,13.81,9.5
40296,Seignosse,16.06,10.8
40310,Soustons,14.67,11.2
40313,Tartas,13.65,11.7
41018,Blois,14.91,14.6
41059,Le Controis-en-Sologne,13.97,9.6
41106,Lamotte-Beuvron,14.02,10.6
41136,Mer,14.45,10.9
41143,Mondoubleau,12.65,15
41149,Montoire-sur-le-Loir,14.04,10.4
41151,Montrichard Val de Cher,13.84,10.9
41167,Veuzain-sur-Loire,14.18,9.4
41173,Beauce la Romaine,14.04,7.2
41194,Romorantin-Lanthenay,13.54,15.8
41198,Saint-Aignan,12.94,14.7
41232,Salbris,13.45,12.5
41242,Selles-sur-Cher,12.88,14.7
41269,Vendôme,14.58,12.3
42011,Balbigny,14.04,10.4
42019,Boën-sur-Lignon,13.57,12.4
42023,Bourg-Argental,13.74,13
42052,Charlieu,13.77,10.4
42059,Chazelles-sur-Lyon,13.92,9.2
42094,Feurs,14.52,11.8
42103,La Grand-Croix,15.13,11.9
42147,Montbrison,14.78,10.3
42149,Montrond-les-Bains,15.33,7.1
42165,Panissières,13.93,10.9
42168,Pélussin,15.34,7.9
42182,Renaison,14.15,10.2
42186,Rive-de-Gier,15.19,13.5
42187,Roanne,13.88,16.1
42204,Saint-Bonnet-le-Château,14.05,10.4
42218,Saint-Étienne,14.35,20.6
42222,Saint-Galmier,17.09,5.3
42230,Saint-Germain-Laval,13.47,13.4
42279,Saint-Just-Saint-Rambert,15.69,8.7
43040,Brioude,13,16.3
43051,Le Chambon-sur-Lignon,13.12,17.9
43080,Craponne-sur-Arzon,12.99,15.9
43087,Dunières,13.58,11.2
43112,Langeac,12.31,16.3
43137,Monistrol-sur-Loire,14.76,7.7
43157,Le Puy-en-Velay,13.27,12.9
43162,Retournac,12.78,14.3
43200,Saint-Julien-Chapteuil,13.47,10.4
43216,Saint-Paulien,12.71,13
43224,Sainte-Sigolène,13.71,8
43234,Saugues,12.06,19
43244,Tence,12.84,13.7
43268,Yssingeaux,13.51,10.5
44002,Aigrefeuille-sur-Maine,15.04,5.1
44003,Ancenis-Saint-Géréon,14.45,8.6
44015,Blain,14.2,8.4
44036,Châteaubriant,13.19,14.7
44043,Clisson,15.41,5.9
44051,Derval,13.38,12.3
44055,La Baule-Escoublac,16.23,8.6
44067,Guémené-Penfao,13.51,14.2
44072,Herbignac,14.11,8.5
44073,Héric,14.97,6.3
44081,Legé,13.41,8.7
44082,Ligné,15.1,5
44084,Le Loroux-Bottereau,15.23,6
44087,Machecoul-Saint-Même,13.41,9.1
44109,Nantes,16.92,12.4
44110,Nort-sur-Erdre,14.9,7.7
44113,Nozay,13.73,10.3
44120,Le Pellerin,14.82,6.1
44129,Pontchâteau,14.2,8
44131,Pornic,15.75,7.8
44154,Saint-Brevin-les-Pins,14.77,7.9
44158,Saint-Étienne-de-Montluc,17.11,5
44180,Vallons-de-l'Erdre,13.15,12.3
44184,Saint-Nazaire,14.67,13.5
44186,Sainte-Pazanne,14.47,6.6
44188,Saint-Philbert-de-Grand-Lieu,14.65,6.2
44195,Savenay,15.46,6.2
44209,Treillières,17.27,5
44212,Vallet,14.84,6.2
44213,Loireauxence,13.48,10.3
45028,Beaugency,15.1,10.3
45030,Beaune-la-Rolande,13.74,12.1
45031,Bellegarde,13.69,11.6
45053,Briare,14.22,15.9
45082,Châteauneuf-sur-Loire,15.65,8.6
45085,Châtillon-Coligny,14.32,14
45115,Courtenay,14.42,13.7
45145,Ferrières-en-Gâtinais,15.08,10
45146,La Ferté-Saint-Aubin,15.8,7.2
45155,Gien,14.5,17.8
45173,Jargeau,15.8,8
45187,Lorris,14.74,12.3
45191,Le Malesherbois,14.95,13.1
45203,Meung-sur-Loire,15.81,6.5
45208,Montargis,14.19,20.3
45224,Neuville-aux-Bois,15.33,6.6
45234,Orléans,15.63,15.1
45248,Patay,13.87,9.1
45252,Pithiviers,13.93,13.6
45258,Puiseaux,14.79,9.9
45315,Sully-sur-Loire,14.95,12.3
46042,Cahors,13.69,14.3
46045,Cajarc,12.91,20.2
46063,Castelnau Montratier-Sainte Alauzie,N/A - résultat non disponible,N/A - résultat non disponible
46102,Figeac,14.28,14.5
46127,Gourdon,12.99,17.4
46128,Gramat,13.65,13.3
46143,Lacapelle-Marival,13.42,15.5
46225,Prayssac,12.78,18
46251,Saint-Céré,14.11,14.9
46309,Souillac,13.42,15.9
46330,Vayrac,13.34,13.9
47001,Agen,14.14,15.6
47004,Aiguillon,12.74,21.8
47052,Casteljaloux,13.25,17.1
47057,Castillonnès,13.08,21.4
47106,Fumel,12.5,20.9
47157,Marmande,13.39,17.5
47168,Miramont-de-Guyenne,12.69,19.7
47175,Monflanquin,12.7,18.5
47195,Nérac,13.19,17.3
47310,Tonneins,12.84,19.4
47323,Villeneuve-sur-Lot,12.95,19.3
48034,La Canourgue,12.89,14.4
48061,Florac Trois Rivières,12.21,20.1
48080,Langogne,11.67,19.2
48092,Marvejols,12.87,13.2
48095,Mende,13.18,12.1
48140,Saint-Chély-d'Apcher,12.51,15
49007,Angers,15.16,14.7
49018,Baugé-en-Anjou,13.22,11.9
49021,Beaufort-en-Anjou,13.71,8.3
49023,Beaupréau-en-Mauges,13.34,7.7
49050,Brissac Loire Aubance,15.11,6.8
49054,Candé,13.34,12.9
49063,Chalonnes-sur-Loire,14.95,8.1
49069,Orée d'Anjou,13.98,6.7
49080,Les Hauts-d'Anjou,12.97,10.7
49092,Chemillé-en-Anjou,13.39,8.9
49099,Cholet,14.33,10.6
49125,Doué-en-Anjou,12.87,11.9
49127,Durtal,13.44,10
49176,Le Lion-d'Angers,14.12,7.5
49180,Longué-Jumelles,12.78,13.7
49214,Montreuil-Juigné,15.03,6.3
49215,Montreuil-Bellay,12.59,13.5
49218,Montrevault-sur-Èvre,12.97,8.5
49228,Noyant-Villages,12.35,19.6
49244,Mauges-sur-Loire,13.49,8.5
49248,Ombrée d'Anjou,12.62,14.7
49261,Gennes-Val-de-Loire,13.55,11.7
49283,Saint-Georges-sur-Loire,15.33,5.5
49301,Sèvremoine,13.69,6.8
49307,Loire-Authion,15.3,5.6
49328,Saumur,13.57,14.6
49331,Segré-en-Anjou Bleu,13.22,11.3
49333,Seiches-sur-le-Loir,13.87,8.5
49345,Bellevigne-en-Layon,13.95,7.7
49347,Tiercé,14.9,6.7
49373,Lys-Haut-Layon,12.74,11.1
50003,Agon-Coutainville,14.91,9.9
50025,Avranches,13.81,10.2
50031,Barneville-Carteret,15.57,11.2
50074,Brécey,12.9,15.3
50076,Bréhal,13.95,10.5
50082,Bricquebec-en-Cotentin,14.02,9.2
50099,Carentan-les-Marais,13.58,13.3
50129,Cherbourg-en-Cotentin,15.59,11.6
50147,Coutances,13.28,13.3
50218,Granville,14.87,9.9
50236,La Haye,13.2,12.7
50341,Montebourg,13.23,11.5
50359,Mortain-Bocage,13.17,15.4
50394,Périers,12.53,14.1
50402,Les Pieux,16.51,7.6
50410,Pontorson,12.44,13.2
50484,Saint-Hilaire-du-Harcouët,12.93,13.5
50487,Saint-James,12.74,13.5
50502,Saint-Lô,13.68,11.6
50539,Saint-Pierre-Église,14.31,9
50582,Sourdeval,12.46,18.4
50601,Torigny-les-Villes,13.32,11.7
50615,Valognes,14.14,10.9
50639,Villedieu-les-Poêles-Rouffigny,12.98,14.2
51030,Aÿ-Champagne,15.95,6.7
51108,Châlons-en-Champagne,14.17,15.2
51217,Dormans,14.67,10.7
51230,Épernay,15.29,11.9
51248,Fère-Champenoise,13.97,13.9
51250,Fismes,14.33,12.6
51380,Montmirail,13.86,14.5
51388,Mourmelon-le-Grand,14.4,9.7
51454,Reims,15.7,16.8
51507,Sainte-Menehould,13.47,14.8
51535,Sézanne,14.14,12.8
51559,Suippes,13.06,12.9
51612,Blancs-Coteaux,15.07,8.5
51649,Vitry-le-François,13.6,15
52060,Bourbonne-les-Bains,12.79,18.2
52093,Chalindrey,13.19,11.5
52121,Chaumont,13.65,13.7
52197,Fayl-Billot,12.87,15.2
52250,Joinville,13.05,18.1
52269,Langres,13.7,13.6
52331,La Porte du Der,13.23,15.2
52353,Nogent,13.07,12.7
52448,Saint-Dizier,13.25,17.5
52550,Wassy,13.15,15
53003,Ambrières-les-Vallées,12.85,13.3
53062,Château-Gontier-sur-Mayenne,13.41,9.8
53077,Cossé-le-Vivien,13.13,9.1
53084,Craon,13.3,11.6
53096,Ernée,12.89,11.7
53097,Évron,13.11,12.8
53107,Gorron,12.21,15.6
53130,Laval,14.5,11.3
53147,Mayenne,13.6,10.2
53152,Meslay-du-Maine,13.7,9.4
53185,Pré-en-Pail-Saint-Samson,12.63,15
53271,Villaines-la-Juhel,12.5,14.7
54039,Baccarat,13.66,15.8
54076,Blainville-sur-l'Eau,14.37,9.7
54099,Val de Briey,13.84,15.5
54159,Dombasle-sur-Meurthe,14.82,10
54273,Jarny,13.86,12
54280,Jœuf,13.78,17.2
54322,Longuyon,12.97,15.8
54323,Longwy,13.14,20.9
54328,Ludres,16.61,5
54329,Lunéville,13.57,14.9
54395,Nancy,15.4,17.5
54397,Neuves-Maisons,14.88,8.7
54431,Pont-à-Mousson,14.81,11.8
54528,Toul,14.3,12.4
54563,Vézelise,14.71,8.3
54580,Villerupt,13.68,17.2
55029,Bar-le-Duc,13.97,13.4
55122,Commercy,13.6,16
55181,Étain,12.85,17.7
55291,Ligny-en-Barrois,13.82,12.6
55351,Montmédy,12.67,15.4
55427,Revigny-sur-Ornain,13.38,13.7
55463,Saint-Mihiel,14.12,14.7
55502,Stenay,13.73,19.8
55533,Vaucouleurs,13.8,15.8
55545,Verdun,13.62,14.9
56001,Allaire,13.29,12.4
56003,Arradon,20.69,5.5
56007,Auray,15.05,9.6
56010,Baud,13.66,9.6
56013,Belz,14.43,9.7
56034,Carnac,16.1,8.9
56053,Elven,14.07,8.7
56057,Le Faouët,12.81,16.9
56061,La Gacilly,13.06,12.3
56066,Gourin,12.37,15.3
56067,Grand-Champ,14.21,6.8
56073,Guémené-sur-Scorff,12.6,20.4
56075,Guer,13.54,9.9
56078,Guidel,17.55,6.4
56083,Hennebont,13.94,9.6
56091,Josselin,12.83,13.3
56098,Lanester,13.53,13.6
56117,Locminé,13.24,10.3
56121,Lorient,15.27,14.3
56124,Malestroit,13.31,10.1
56127,Mauron,12.58,16.8
56143,Muzillac,14.15,8.3
56147,Nivillac,13.85,9.5
56152,Le Palais,13.15,11.2
56164,Ploeren,16.26,7.3
56165,Ploërmel,13.67,10.3
56166,Plouay,13.12,12.4
56169,Plouhinec,15.26,9.3
56177,Pluvigner,13.79,8.3
56178,Pontivy,13.46,12.5
56184,Questembert,13.26,11
56186,Quiberon,13.92,9.6
56193,Riantec,14.72,9.9
56240,Sarzeau,15.98,8.2
56251,Theix-Noyalo,15.56,7.1
56260,Vannes,15.39,12
57019,Amnéville,13.93,15.5
57089,Bitche,13.81,12.7
57097,Boulay-Moselle,14.34,11.2
57106,Bouzonville,13.88,14.2
57132,Château-Salins,13.91,10.7
57160,Creutzwald,13.99,16.1
57177,Dieuze,13.39,15
57207,Farébersviller,14.27,18.3
57209,Faulquemont,14,12.7
57227,Forbach,13.24,24.2
57240,Freyming-Merlebach,12.93,22.3
57269,Guénange,15.45,10.3
57323,Hettange-Grande,16.12,9.3
57413,Longeville-lès-Saint-Avold,14.74,10.3
57443,Marange-Silvange,15.1,10
57463,Metz,15.42,16.5
57483,Morhange,13.77,15.6
57540,Phalsbourg,14.54,9.4
57556,Puttelange-aux-Lacs,14.63,12.8
57572,Rémilly,15.08,7.3
57589,Rohrbach-lès-Bitche,14.45,8.4
57606,Saint-Avold,14.2,18.3
57628,Sarralbe,14.35,12.4
57630,Sarrebourg,13.65,12.8
57631,Sarreguemines,14.52,14.7
57672,Thionville,14.33,17.3
58059,La Charité-sur-Loire,13.28,14.6
58062,Château-Chinon (Ville),12.51,19.5
58079,Clamecy,12.95,17.5
58083,Corbigny,12.69,16.5
58086,Cosne-Cours-sur-Loire,14.11,14.4
58095,Decize,13.19,15.6
58134,Imphy,13.68,13.9
58149,Luzy,12.39,18.2
58194,Nevers,13.77,15.3
58218,Prémery,12.4,17.1
58264,Saint-Pierre-le-Moûtier,13.01,19.4
59011,Annœullin,15.38,10
59015,Arleux,14.28,11.5
59017,Armentières,14.96,14.1
59033,Aulnoye-Aymeries,13.07,21.8
59036,Avesnes-sur-Helpe,13.35,20.3
59037,Avesnes-les-Aubert,13.32,17.3
59051,La Bassée,14.97,12.4
59053,Bavay,14.82,13.9
59067,Bergues,15.56,10.8
59094,Bourbourg,14.3,15.7
59107,Bray-Dunes,15.26,11.3
59122,Cambrai,13.95,16.7
59136,Le Cateau-Cambrésis,12.56,26.3
59139,Caudry,13.05,21.2
59168,Cysoing,19.62,6.5
59172,Denain,13.01,28.2
59178,Douai,14.1,19.9
59183,Dunkerque,14.72,19.8
59239,Flines-lez-Raches,15.68,9
59249,Fourmies,12.57,31.6
59273,Gravelines,15.85,13.9
59295,Hazebrouck,14.23,13.2
59324,Jeumont,12.98,30.1
59331,Landrecies,13.49,19.9
59350,Lille,16.44,20.4
59375,Marchiennes,16.79,9.7
59392,Maubeuge,13.32,28.9
59400,Merville,15.02,10.8
59449,Orchies,16.61,8.1
59462,Phalempin,17.86,5.5
59466,Pont-à-Marcq,19.41,5.8
59481,Le Quesnoy,15.37,13
59484,Quiévrechain,12.93,28.7
59526,Saint-Amand-les-Eaux,16.01,12.9
59571,Solesmes,13.8,18.2
59574,Somain,13.53,19.8
59580,Steenvoorde,15.64,10.6
59601,Trélon,12.21,21.4
59606,Valenciennes,14.43,22.3
59616,Vieux-Condé,13.06,27.4
59653,Wavrin,16.51,8.3
59663,Wormhout,15.16,9.6
60057,Beauvais,14.74,17.4
60103,Bresles,14.77,8.6
60104,Breteuil,13.56,13.5
60141,Chantilly,23.03,6.9
60143,Chaumont-en-Vexin,16.3,7.1
60157,Clermont,15.56,8.3
60159,Compiègne,17.04,13.5
60175,Creil,14.44,25.5
60176,Crépy-en-Valois,16.31,8.3
60178,Crèvecœur-le-Grand,14.09,12.3
60223,Estrées-Saint-Denis,15.96,6.2
60245,Formerie,12.82,16.6
60286,Grandvilliers,13.39,13.4
60360,Liancourt,14.91,10.1
60395,Méru,15.68,10.5
60471,Noyon,14.35,18.1
60500,Le Plessis-Belleville,17.09,5.8
60509,Pont-Sainte-Maxence,16.05,13.1
60533,Ressons-sur-Matz,15.21,9
60581,Saint-Just-en-Chaussée,13.78,11.8
60612,Senlis,23.66,8.7
60636,Thourotte,15.83,9.8
60667,Verberie,17.02,8
61001,Alençon,13.49,15.5
61006,Argentan,13.05,16.1
61038,Bellême,13.44,12.2
61145,Domfront en Poiraie,12.7,15.9
61168,La Ferté Macé,12.97,13.8
61169,Flers,13.38,15.1
61181,Gacé,13.8,19.1
61214,L'Aigle,13.63,16.5
61293,Mortagne-au-Perche,13.5,15.4
61464,Sées,13.1,14
61486,Tinchebray-Bocage,13.1,14.3
61508,Vimoutiers,13.28,19.2
62014,Aire-sur-la-Lys,13.86,14.5
62038,Ardres,14.09,13.3
62041,Arras,15.23,14.8
62045,Aubigny-en-Artois,14.84,8.6
62048,Auchel,13.7,19.3
62057,Audruicq,15,13.3
62060,Auxi-le-Château,12.64,22.4
62080,Bapaume,13.32,14
62108,Berck,13.23,14.3
62119,Béthune,15.2,16.5
62160,Boulogne-sur-Mer,13.59,20.5
62178,Bruay-la-Buissière,12.99,24.8
62193,Calais,13.87,23.2
62268,Desvres,13.41,15.8
62318,Étaples,14.84,13.8
62361,Frévent,12.81,22.2
62364,Fruges,12.37,19.7
62397,Guînes,13.74,18.3
62447,Hesdin,13.28,20.2
62497,Leforest,14.27,17.2
62498,Lens,13.29,23.3
62534,Lumbres,13.8,14.2
62560,Marquise,14.38,15
62588,Montreuil-sur-Mer,13.57,13.2
62617,Nœux-les-Mines,13.49,19.7
62765,Saint-Omer,13.9,17.2
62767,Saint-Pol-sur-Ternoise,13.49,16.5
62773,Samer,13.34,13.9
62861,Vimy,16.32,6.8
62893,Wimereux,15.49,13.3
62895,Wingles,13.95,15.5
63003,Ambert,14.11,16.5
63010,Arlanc,12.41,19.2
63038,Besse-et-Saint-Anastaise,12.84,14.4
63040,Billom,14.56,10.4
63047,La Bourboule-Mont-Dore,12.83,17.3
63113,Clermont-Ferrand,15.8,15.1
63125,Courpière,13.52,18.1
63178,Issoire,13.71,13.4
63195,Lezoux,14.39,9.2
63214,Les Martres-de-Veyre,16.41,6.1
63283,Pontaumur,13.09,19.9
63284,Pont-du-Château,14.96,8.2
63285,Pontgibaud,14.29,9.9
63300,Riom,15.55,10
63338,Saint-Éloy-les-Mines,13.28,17.7
63430,Thiers,13.55,16.8
63457,Vic-le-Comte,15.42,7.7
64061,Artix,15.65,8.4
64062,Arudy,14.07,12.3
64063,Arzacq-Arraziguet,13.79,12.7
64102,Bayonne,15.41,11.4
64160,Cambo-les-Bains,13.91,9.8
64233,Garlin,13.19,13.4
64256,Hasparren,13.74,11.7
64260,Hendaye,13.88,14.5
64320,Laruns,14.57,14.2
64331,Lembeye,13.81,15
64371,Mauléon-Licharre,12.76,15.6
64393,Monein,16.05,10.2
64410,Mourenx,14.52,16
64416,Navarrenx,14.48,15
64417,Nay,15.51,8.8
64422,Oloron-Sainte-Marie,14,14.1
64430,Orthez,14.27,11.7
64445,Pau,16.35,13.7
64453,Pontacq,14.48,10.2
64483,Saint-Jean-de-Luz,15.15,11.5
64485,Saint-Jean-Pied-de-Port,13.06,16.5
64493,Saint-Palais,13.51,14.5
64495,Saint-Pée-sur-Nivelle,13.58,11
64499,Salies-de-Béarn,13.17,15.3
64526,Soumoulou,16.53,8.3
65025,Argelès-Gazost,13.65,13.4
65031,Arreau,13.01,16.2
65059,Bagnères-de-Bigorre,13.71,15
65258,Lannemezan,13.59,15.4
65286,Lourdes,12.54,18.3
65295,Luz-Saint-Sauveur,13.62,16.3
65304,Maubourguet,12.57,17.5
65440,Tarbes,13.69,15.6
65452,Trie-sur-Baïse,12.73,20.1
65460,Vic-en-Bigorre,13.25,15.5
66003,Amélie-les-Bains-Palalda,12.5,25.5
66016,Banyuls-sur-Mer,13.04,16.1
66024,Le Boulou,13.63,17.7
66025,Bourg-Madame,13.63,15.6
66037,Canet-en-Roussillon,14.05,16.9
66049,Céret,13.84,17.1
66088,Ille-sur-Têt,13.08,20.6
66108,Millas,13.53,19.4
66124,Font-Romeu-Odeillo-Via,13.2,16.2
66136,Perpignan,13.69,25.2
66144,Pollestres,13.64,14.1
66148,Port-Vendres,13.16,19.3
66149,Prades,12.52,24.1
66171,Saint-Cyprien,13.35,16.3
66180,Saint-Laurent-de-la-Salanque,13.34,17.3
66210,Thuir,13.68,16
67021,Barr,16.11,8.3
67028,Benfeld,15.46,7.1
67061,Bouxwiller,15.1,9.2
67067,Brumath,16.25,5.3
67095,Diemeringen,14,10.6
67106,Drusenheim,15.47,6.9
67130,Erstein,15.63,8.5
67152,Geispolsheim,16.52,6.7
67180,Haguenau,14.87,10.9
67202,Hochfelden,15.7,5
67205,Hœrdt,16.63,5
67222,Ingwiller,14.39,9.1
67281,Marckolsheim,15.38,7.3
67282,Marlenheim,17.21,5.1
67283,Marmoutier,15.43,7.3
67300,Molsheim,16.31,7
67348,Obernai,16.42,8
67372,Val-de-Moder,15.14,6.8
67388,Reichshoffen,14.64,9.7
67411,Rosheim,17.65,5
67434,Sarre-Union,14.36,13.9
67437,Saverne,15.34,10.3
67448,Schirmeck,14.41,9.7
67462,Sélestat,15.3,9.6
67463,Seltz,14.94,7.9
67474,Soultz-sous-Forêts,14.58,7.3
67482,Strasbourg,15.51,20.9
67495,Truchtersheim,19.23,5
67507,Villé,15.46,7.1
67519,La Wantzenau,19.21,5.7
67520,Wasselonne,15.08,7.4
67544,Wissembourg,14.47,12.1
67550,Wœrth,14.67,6.5
68004,Altkirch,14.48,8.7
68063,Cernay,15.26,9.9
68066,Colmar,15.45,12.9
68068,Dannemarie,14.95,7.6
68082,Ensisheim,15.68,5.9
68112,Guebwiller,14.76,10.3
68138,Hirsingue,14.01,7
68162,Kaysersberg Vignoble,15.53,8.2
68201,Masevaux-Niederbruck,15.13,8.2
68224,Mulhouse,14.37,20.1
68226,Munster,14.42,8.6
68269,Ribeauvillé,16.01,8.2
68287,Rouffach,16.09,6.6
68297,Saint-Louis,14.56,12
68298,Sainte-Marie-aux-Mines,14.24,15.1
68309,Sierentz,16.1,5
68334,Thann,14.38,11.2
69006,Amplepuis,14.13,12.4
69010,L'Arbresle,17.22,7.4
69018,Beaujeu,14.41,11.2
69019,Belleville-en-Beaujolais,15.27,8.3
69024,Val d'Oingt,17.99,6.1
69064,Condrieu,16.54,8.2
69066,Cours,13.92,13.4
69091,Givors,16.02,16.3
69112,Lentilly,20.9,5
69123,Lyon,17.83,16
69141,Mornant,17.89,5.4
69143,Neuville-sur-Saône,20.21,7.5
69201,Sainte-Foy-l'Argentière,14.88,8.6
69220,Saint-Laurent-de-Chamousset,14.67,8.5
69227,Saint-Martin-en-Haut,15.97,6.9
69238,Saint-Symphorien-sur-Coise,14.47,9.5
69243,Tarare,14.59,12.1
69248,Thizy-les-Bourgs,13.31,13.6
69264,Villefranche-sur-Saône,16.68,11.9
69287,Saint-Bonnet-de-Mure,18.59,5
70198,Dampierre-sur-Salon,13.56,13.2
70279,Gray,13.46,14.7
70285,Héricourt,15.1,12.7
70292,Jussey,12.55,17.7
70310,Lure,14.07,13.5
70311,Luxeuil-les-Bains,13.11,15.8
70334,Marnay,14.35,7.1
70421,Port-sur-Saône,13,12.5
70447,Rioz,14.13,8
70467,Saint-Loup-sur-Semouse,12.72,18.7
70550,Vesoul,13.36,14.2
70561,Villersexel,12.9,14.5
71014,Autun,13.38,16.5
71047,Bourbon-Lancy,13.52,13.7
71073,Chagny,14.83,8.1
71076,Chalon-sur-Saône,14.37,13.7
71090,La Chapelle-de-Guinchay,15.6,7.5
71106,Charolles,13.84,13
71120,Chauffailles,13.57,12.4
71133,La Clayette,13.78,12.2
71137,Cluny,14.34,12
71153,Le Creusot,14.55,14
71176,Digoin,12.87,16
71192,Étang-sur-Arroux,13.26,15.4
71221,Givry,18.31,5.9
71230,Gueugnon,14.38,12.2
71263,Louhans,13.02,14.5
71270,Mâcon,14.54,13.6
71275,Marcigny,13.74,13.4
71306,Montceau-les-Mines,13.77,14.7
71310,Montchanin,14.78,11
71342,Paray-le-Monial,13.76,11.5
71351,Pierre-de-Bresse,13.17,15.4
71417,Saint-Gengoux-le-National,14.47,10.7
71419,Saint-Germain-du-Bois,13.1,13.3
71512,Sennecey-le-Grand,14.3,9.6
71543,Tournus,14.08,12.5
72029,Beaumont-sur-Sarthe,13.51,11
72039,Bonnétable,13.27,10.7
72068,La Chartre-sur-le-Loir,13.42,14
72071,Montval-sur-Loir,13.04,14.9
72089,Conlie,13.87,10.1
72090,Connerré,13.2,10.9
72124,Écommoy,13.76,9.6
72132,La Ferté-Bernard,13.75,11.9
72138,Fresnay-sur-Sarthe,12.8,14.2
72143,Le Grand-Lucé,13.6,12.8
72154,La Flèche,13.43,12
72168,Loué,13.17,11.2
72176,Le Lude,12.54,15.3
72180,Mamers,12.62,15.6
72181,Le Mans,15.05,15.7
72189,Marolles-les-Braults,12.35,14.5
72213,Mulsanne,14.9,7.3
72231,Parigné-l'Évêque,14.88,6.5
72264,Sablé-sur-Sarthe,13.26,12.9
72269,Saint-Calais,12.8,13.3
72334,Sillé-le-Guillaume,13.07,16.9
72346,La Suze-sur-Sarthe,14,7.9
72373,Vibraye,13.17,10.5
73006,Aime-la-Plagne,15.06,10.7
73008,Aix-les-Bains,17.04,10
73010,Entrelacs,15.93,6.3
73011,Albertville,15.16,11.6
73034,Beaufort,15.01,11.3
73054,Bourg-Saint-Maurice,14.79,14.1
73055,Bozel,16.48,14
73065,Chambéry,15.65,12.2
73157,Modane,14.36,13.2
73171,Montmélian,15.15,8.5
73181,Moûtiers,14.71,14.6
73215,Valgelon-La Rochette,15.29,7.8
73236,Saint-Genix-les-Villages,14.5,9.8
73248,Saint-Jean-de-Maurienne,15.46,11.1
73270,Saint-Pierre-d'Albigny,15.14,7.7
73303,Ugine,15.11,12.5
73304,Val-d'Isère,15.64,20.8
73330,Yenne,15.49,8.2
74010,Annecy,16.93,8.4
74012,Annemasse,13.98,14.8
74042,Bonneville,14.87,9
74043,Bons-en-Chablais,15.06,6.3
74056,Chamonix-Mont-Blanc,15.76,15.1
74081,Cluses,14.95,11.6
74096,Cruseilles,16.14,5.2
74105,Douvaine,14.69,8.7
74123,Faverges-Seythenex,15.83,9.2
74137,Groisy,17.8,5
74191,Morzine,15.42,14.4
74220,Reignier-Ésery,15.34,7.5
74224,La Roche-sur-Foron,15.72,7.7
74225,Rumilly,15.44,7.1
74236,Saint-Gervais-les-Bains,15.66,10.6
74243,Saint-Julien-en-Genevois,15.12,9.6
74256,Sallanches,15.75,9
74258,Samoëns,15.02,11.3
74269,Seyssel,14.55,7.9
74276,Taninges,16.64,7.4
74280,Thônes,15.24,7.5
74281,Thonon-les-Bains,14.99,9.8
74311,Viuz-en-Sallaz,15.56,6.3
75056,Paris,21.39,16.8
76034,Val-de-Scie,14.33,9.5
76035,Aumale,13.23,15.5
76057,Barentin,15.03,10.6
76101,Blangy-sur-Bresle,13.25,15.2
76114,Bolbec,14.82,14
76146,Buchy,14.99,6.9
76159,Cany-Barville,14.85,12.3
76164,Rives-en-Seine,15.59,10.7
76196,Criquetot-l'Esneval,16.84,5
76217,Dieppe,13.93,16.1
76219,Doudeville,14.11,11.3
76222,Duclair,15.01,9.9
76255,Eu,14.38,14.2
76258,Terres-de-Caux,14.5,9.7
76259,Fécamp,14.37,13.3
76276,Forges-les-Eaux,13.66,14.7
76302,Goderville,15.75,7.1
76312,Gournay-en-Bray,14.28,13.3
76351,Le Havre,15.75,18.4
76400,Luneray,13.84,10.7
76462,Neufchâtel-en-Bray,13.72,14.7
76476,Port-Jérôme-sur-Seine,15.7,12.2
76482,Offranville,15.32,8.5
76540,Rouen,15.66,16.9
76647,Saint-Romain-de-Colbosc,17.49,5.2
76648,Saint-Saëns,14.24,13.2
76655,Saint-Valery-en-Caux,16.52,12.8
76752,Yerville,14.56,7.7
76758,Yvetot,15.28,10.4
77051,Bray-sur-Seine,14.76,10.5
77053,Brie-Comte-Robert,18.25,7.7
77088,La Chapelle-la-Reine,18.53,6.9
77100,Le Châtelet-en-Brie,17.87,5
77118,Claye-Souilly,18.61,6.4
77131,Coulommiers,15.82,9.8
77142,Crécy-la-Chapelle,18.03,6.4
77153,Dammartin-en-Goële,17.19,7.2
77171,Esbly,19.03,6
77182,La Ferté-Gaucher,14.59,12.4
77183,La Ferté-sous-Jouarre,15.48,11.6
77186,Fontainebleau,21.68,9.5
77192,Fontenay-Trésigny,16.52,6.7
77268,Magny-le-Hongre,20.41,7.5
77284,Meaux,15.47,14.9
77288,Melun,15.03,20.1
77305,Montereau-Fault-Yonne,14.66,18.4
77316,Moret-Loing-et-Orvanne,17.76,9.3
77327,Nangis,15.59,11
77333,Nemours,15.5,13.3
77379,Provins,14.97,15
77393,Rozay-en-Brie,16.77,5.6
77407,Saint-Fargeau-Ponthierry,18.94,7.1
77437,Saint-Soupplets,16.23,5.6
77458,Souppes-sur-Loing,14.59,15.5
77470,Tournan-en-Brie,17.11,9.1
78029,Aubergenville,16.42,12.6
78089,Bonnières-sur-Seine,16.19,11.9
78217,Épône,21.97,5.5
78220,Les Essarts-le-Roi,23.07,5.4
78267,Gargenville,16.51,9
78310,Houdan,20.45,5
